,Postal Code,Borough,Neighborhood_x,Latitude,Longitude,Longitude_Neigh,Latitude_Neigh
0,M5A,Downtown Toronto,Regent Park,43.6541737,-79.38081164513409,-79.3604569,43.6607056
1,M5A,Downtown Toronto,Harbourfront,43.6541737,-79.38081164513409,-79.3801495,43.6400801
2,M5B,Downtown Toronto,Garden District,43.6541737,-79.38081164513409,-79.3771141,43.6564995
3,M5B,Downtown Toronto,Ryerson,43.6541737,-79.38081164513409,-79.37899327245886,43.65846945
4,M5C,Downtown Toronto,St. James Town,43.6541737,-79.38081164513409,-79.3727041,43.6694032
5,M4E,East Toronto,The Beaches,43.653963,-79.387207,-79.296712,43.6710244
6,M5E,Downtown Toronto,Berczy Park,43.6541737,-79.38081164513409,-79.37539591138858,43.64798435
7,M5G,Downtown Toronto,Central Bay Street,43.6541737,-79.38081164513409,-79.3858018,43.6607076
8,M6G,Downtown Toronto,Christie,43.6541737,-79.38081164513409,-79.4184051,43.6641106
9,M5H,Downtown Toronto,Richmond,43.6541737,-79.38081164513409,-79.3913729,43.6485875
10,M5H,Downtown Toronto,Adelaide,43.6541737,-79.38081164513409,-79.37949791351815,43.6504863
11,M5H,Downtown Toronto,King,43.6541737,-79.38081164513409,-79.3777538,43.6489494
12,M6H,West Toronto,Dufferin,43.653963,-79.387207,-79.4357191,43.6602019
13,M6H,West Toronto,Dovercourt Village,43.653963,-79.387207,-79.4326362,43.6653069
14,M5J,Downtown Toronto,Harbourfront East,43.6541737,-79.38081164513409,-79.3934918,43.6247901
15,M5J,Downtown Toronto,Union Station,43.6541737,-79.38081164513409,-79.380381,43.6445345
16,M5J,Downtown Toronto,Toronto Islands,43.6541737,-79.38081164513409,-79.39431563721035,43.6230544
17,M6J,West Toronto,Little Portugal,43.653963,-79.387207,-79.43111632546047,43.64741325
18,M6J,West Toronto,Trinity,43.653963,-79.387207,-79.39525214965947,43.665301549999995
19,M4K,East Toronto,The Danforth West,43.653963,-79.387207,-79.3448597,43.6789439
20,M4K,East Toronto,Riverdale,43.653963,-79.387207,-79.3525936,43.6654704
21,M5K,Downtown Toronto,Toronto Dominion Centre,43.6541737,-79.38081164513409,-79.3813719429129,43.6473768
22,M5K,Downtown Toronto,Design Exchange,43.6541737,-79.38081164513409,-79.3801145,43.6477412
23,M6K,West Toronto,Brockton,43.653963,-79.387207,-79.4400216,43.6509173
24,M6K,West Toronto,Parkdale Village,43.653963,-79.387207,-79.4665843,43.638093
25,M6K,West Toronto,Exhibition Place,43.653963,-79.387207,-79.41786518970609,43.633469250000005
26,M4L,East Toronto,India Bazaar,43.653963,-79.387207,-79.3235032,43.6722231
27,M4L,East Toronto,The Beaches West,43.653963,-79.387207,-79.296712,43.6710244
28,M5L,Downtown Toronto,Commerce Court,43.6541737,-79.38081164513409,-79.37902543099575,43.64809515
29,M5L,Downtown Toronto,Victoria Hotel,43.6541737,-79.38081164513409,-79.37326825,43.66946915
30,M4M,East Toronto,Studio District,43.653963,-79.387207,-79.39068322559326,43.64958515
31,M4N,Central Toronto,Lawrence Park,43.653963,-79.387207,-79.4032525,43.729199
32,M5N,Central Toronto,Roselawn,43.653963,-79.387207,-79.4546164,43.6994563
33,M4P,Central Toronto,Davisville North,43.653963,-79.387207,-79.3972908,43.697936
34,M5P,Central Toronto,Forest Hill North & West,43.653963,-79.387207,-79.4139023,43.6935586
35,M6P,West Toronto,High Park,43.653963,-79.387207,-79.4668644,43.6538668
36,M6P,West Toronto,The Junction South,43.653963,-79.387207,-79.470352,43.6654775
37,M4R,Central Toronto,North Toronto West,43.653963,-79.387207,-79.387207,43.653963
38,M5R,Central Toronto,The Annex,43.653963,-79.387207,-79.407117,43.6703377
39,M5R,Central Toronto,North Midtown,43.653963,-79.387207,-77.6196036,43.1621276
40,M5R,Central Toronto,Yorkville,43.653963,-79.387207,-79.3901677,43.6713861
41,M6R,West Toronto,Parkdale,43.653963,-79.387207,-79.4368965,43.6404954
42,M6R,West Toronto,Roncesvalles,43.653963,-79.387207,-79.4510381,43.6514426
43,M4S,Central Toronto,Davisville,43.653963,-79.387207,-79.3972908,43.697936
44,M5S,Downtown Toronto,University of Toronto,43.6541737,-79.38081164513409,-79.39775965337452,43.663461999999996
45,M5S,Downtown Toronto,Harbord,43.6541737,-79.38081164513409,-79.41439133503991,43.66151215
46,M6S,West Toronto,Runnymede,43.653963,-79.387207,-79.4759978,43.6517026
47,M6S,West Toronto,Swansea,43.653963,-79.387207,-79.478313,43.64494
48,M4T,Central Toronto,Moore Park,43.653963,-79.387207,-79.3832965,43.6903876
49,M4T,Central Toronto,Summerhill East,43.653963,-79.387207,-79.3905037,43.6816776
50,M5T,Downtown Toronto,Kensington Market,43.6541737,-79.38081164513409,-79.4022604,43.6552136
51,M5T,Downtown Toronto,Chinatown,43.6541737,-79.38081164513409,-79.3980316,43.6529237
52,M5T,Downtown Toronto,Grange Park,43.6541737,-79.38081164513409,-79.39231921757992,43.652196599999996
53,M4V,Central Toronto,Summerhill West,43.653963,-79.387207,-79.3905037,43.6816776
54,M4V,Central Toronto,Rathnelly,43.653963,-79.387207,-79.4008217,43.6783953
55,M4V,Central Toronto,South Hill,43.653963,-79.387207,-79.4057671,43.6779261
56,M4V,Central Toronto,Forest Hill SE,43.653963,-79.387207,-79.4139023,43.6935586
57,M4V,Central Toronto,Deer Park,43.653963,-79.387207,-79.3940935,43.68809
58,M5V,Downtown Toronto,CN Tower,43.6541737,-79.38081164513409,-79.38708718320467,43.6425637
59,M5V,Downtown Toronto,King and Spadina,43.6541737,-79.38081164513409,-79.3913729,43.6485875
60,M5V,Downtown Toronto,Railway Lands,43.6541737,-79.38081164513409,-123.2370598,49.2662356
61,M5V,Downtown Toronto,Harbourfront West,43.6541737,-79.38081164513409,-79.3801495,43.6400801
62,M5V,Downtown Toronto,Bathurst Quay,43.6541737,-79.38081164513409,-79.398329,43.6357905
63,M5V,Downtown Toronto,South Niagara,43.6541737,-79.38081164513409,-79.4097646,43.6456362
64,M5V,Downtown Toronto,Island airport,43.6541737,-79.38081164513409,-79.3979911558998,43.628057049999995
65,M4W,Downtown Toronto,Rosedale,43.6541737,-79.38081164513409,-79.3807457,43.6783556
67,M4X,Downtown Toronto,St. James Town,43.6541737,-79.38081164513409,-79.3727041,43.6694032
68,M4X,Downtown Toronto,Cabbagetown,43.6541737,-79.38081164513409,-79.3669861,43.6644734
69,M5X,Downtown Toronto,First Canadian Place,43.6541737,-79.38081164513409,-79.38169179283025,43.6487681
70,M5X,Downtown Toronto,Underground city,43.6541737,-79.38081164513409,-79.3748625,43.7701454
71,M4Y,Downtown Toronto,Church and Wellesley,43.6541737,-79.38081164513409,-79.3838011,43.6655242
